nuts2_id,nuts2_name,country,medals,nuts2_population,medals_per_million_residents
ITH1,Provincia Autonoma di Bolzano/Bozen,Italy,16,539679,29.647253274631773
SE32,Mellersta Norrland,Sweden,5,374297,13.35837583523245
AT34,Vorarlberg,Austria,5,411784,12.142288189924814
AT33,Tirol,Austria,9,777660,11.573181081706657
ITH2,Provincia Autonoma di Trento,Italy,5,546573,9.147908879509233
NO08,Oslo og Viken,Norway,16,2050625,7.802499238037184
SE33,Övre Norrland,Sweden,4,529758,7.5506174517421165
SI04,Zahodna Slovenija,Slovenia,6,1017119,5.899014766217129
SE31,Norra Mellansverige,Sweden,4,854488,4.681165797530217
CH06,Zentralschweiz,Switzerland,4,863896,4.630186966949726
NL12,Friesland (NL),Netherlands,3,664222,4.516562233711018
FRC2,Franche-Comté,France,5,1175558,4.253299284254797
NO07,Nord-Norge,Norway,2,489103,4.089118242987674
NL11,Groningen,Netherlands,2,602833,3.317668408995526
CH02,Espace Mittelland,Switzerland,6,1962040,3.058041630140058
DED4,Chemnitz,Germany,4,1386336,2.8853034185074904
DEG0,Thüringen,Germany,5,2100277,2.380638363415873
NL31,Utrecht,Netherlands,3,1387643,2.1619393460709992
NO06,Trøndelag,Norway,1,486815,2.05416842126886
AT21,Kärnten,Austria,1,570095,1.7540936159762845
AT22,Steiermark,Austria,2,1271716,1.572678176574015
BG31,Severozapaden,Bulgaria,1,655430,1.5257159422058801
CZ01,Praha,Czechia,2,1397880,1.430737974647323
FRK2,Rhône-Alpes,France,9,6901647,1.3040365582302311
CZ05,Severovýchod,Czechia,2,1535886,1.302179979503687
AT12,Niederösterreich,Austria,2,1727514,1.1577330198192315
BE22,Prov. Limburg (BE),Belgium,1,909455,1.099559626369639
ITC4,Lombardia,Italy,11,10033918,1.0962816319607156
DE21,Oberbayern,Germany,5,4764548,1.0494174893400172
BE21,Prov. Antwerpen,Belgium,2,1947973,1.026708275730721
DE23,Oberpfalz,Germany,1,1121379,0.8917591643859926
FI1C,Etelä-Suomi,Finland,1,1151434,0.8684822577759559
SE11,Stockholm,Sweden,2,2473307,0.8086339463722053
CH05,Ostschweiz,Switzerland,1,1250159,0.7998982529422257
FI1D,Pohjois- ja Itä-Suomi,Finland,1,1272126,0.7860856550373155
FI19,Länsi-Suomi,Finland,1,1399457,0.7145628625959926
NO0A,Vestlandet,Norway,1,1432119,0.698265996052004
AT31,Oberösterreich,Austria,1,1535519,0.6512456049062239
DED2,Dresden,Germany,1,1584687,0.6310394418582345
ITH3,Veneto,Italy,3,4853472,0.6181142077259331
CH01,Région lémanique,Switzerland,1,1757496,0.5689913376758752
FI1B,Helsinki-Uusimaa,Finland,1,1782300,0.5610727711384167
LV00,Latvija,Latvia,1,1860565,0.5374711445179287
DE27,Schwaben,Germany,1,1933313,0.5172468193199963
BG41,Yugozapaden,Bulgaria,1,2022982,0.49431977150562884
DE11,Stuttgart,Germany,2,4167550,0.4798982615685475
PL22,Śląskie,Poland,2,4190666,0.477251109966769
DEE0,Sachsen-Anhalt,Germany,1,2135597,0.46825313952023717
DEA2,Köln,Germany,2,4486282,0.4458034514994822
ITI4,Lazio,Italy,2,5709178,0.35031312738891657
NL32,Noord-Holland,Netherlands,1,2992016,0.3342228116427185
FRJ2,Midi-Pyrénées,France,1,3208005,0.3117202124061527
FRH0,Bretagne,France,1,3489252,0.2865943761012389
DEA5,Arnsberg,Germany,1,3571898,0.27996320163677685
NL33,Zuid-Holland,Netherlands,1,3804906,0.262818582114775
